date,ticker,asset_class,sector,return
2020-10-16,PSA,Equity,RealEstate,-0.0057181738374212365
2020-10-16,QCOM,Equity,Tech,0.003499680448510345
2020-10-16,SBUX,Equity,Consumer,-0.0034899891592896637
2020-10-16,SHW,Equity,Materials,0.010639629876228573
2020-10-16,SLB,Equity,Energy,-0.08830685498646396
2020-10-16,SO,Equity,Utilities,0.005687737665220016
2020-10-16,T,Equity,Comm,-0.004371630448346875
2020-10-16,TMUS,Equity,Comm,-0.00294898523327769
2020-10-16,TTWO,Equity,Comm,0.0011307649990275337
2020-10-16,UPS,Equity,Industrials,0.0022986819779464707
2020-10-16,USB,Equity,Financials,0.0
2020-10-16,V,Equity,Financials,0.003557982775826085
2020-10-16,WFC,Equity,Financials,-0.003921477662091499
2020-10-16,WMT,Equity,Consumer,0.0012453316076486143
2020-10-16,XOM,Equity,Energy,-0.010159686672096213
2020-10-19,ADA-USD,Crypto,Crypto,0.012003227835705177
2020-10-19,BCH-USD,Crypto,Crypto,0.003593214872746886
2020-10-19,BTC-USD,Crypto,Crypto,0.02252631185070797
2020-10-19,EOS-USD,Crypto,Crypto,0.013236968380109904
2020-10-19,ETC-USD,Crypto,Crypto,-0.0001767573409304779
2020-10-19,ETH-USD,Crypto,Crypto,0.004552780347713448
2020-10-19,LTC-USD,Crypto,Crypto,0.010066667318210154
2020-10-19,TRX-USD,Crypto,Crypto,-0.002891710625839039
2020-10-19,XLM-USD,Crypto,Crypto,0.071627045933776
2020-10-19,XRP-USD,Crypto,Crypto,0.0154360585022435
2020-10-19,ABBV,Equity,Healthcare,-0.02271906022790826
2020-10-19,ABT,Equity,Healthcare,-0.014862596450935128
2020-10-19,ADBE,Equity,Tech,-0.01515451852788774
2020-10-19,AEP,Equity,Utilities,-0.002622324506073914
2020-10-19,AMD,Equity,Tech,-0.014067550735887502
2020-10-19,AMGN,Equity,Healthcare,-0.021254097305694275
2020-10-19,AMT,Equity,RealEstate,-0.012854305208735095
2020-10-19,BA,Equity,Industrials,-0.0014341528796575354
2020-10-19,CAT,Equity,Industrials,-0.007229680714889941
2020-10-19,CCI,Equity,RealEstate,-0.015458139376691604
2020-10-19,CMCSA,Equity,Comm,-0.02699755393512593
2020-10-19,COP,Equity,Energy,-0.03168478843315636
2020-10-19,CVX,Equity,Energy,-0.022088022263242246
2020-10-19,D,Equity,Utilities,-0.006264649739026962
2020-10-19,DD,Equity,Materials,-0.012337149752101872
2020-10-19,DIS,Equity,Consumer,-0.02034537597393904
2020-10-19,DOW,Equity,Materials,-0.009330383587809354
2020-10-19,DUK,Equity,Utilities,-0.003247910593781711
2020-10-19,EA,Equity,Comm,-0.01553975067746538
2020-10-19,GE,Equity,Industrials,0.0
2020-10-19,GILD,Equity,Healthcare,-0.02306453858184898
