rebalance_date,training_end_date,max_training_observation_date,first_live_return_date,universe,method,fund,assets_used,solver_status,fallback_used,objective_value,weight_sum,min_weight,max_weight,rebalance_turnover,risk_contribution_dispersion
2023-04-03,2023-03-31,2023-03-31,2023-04-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014782999039118105,1.0,0.0,0.06213236358112471,0.03214554229338754,0.04995718384025267
2023-05-01,2023-04-28,2023-04-28,2023-05-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014660507559740256,0.9999999999999999,0.0,0.06087837588961453,0.021622977217320767,0.048770199016067266
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014563447884236865,1.0,0.0,0.059015976404988804,0.025900396520422322,0.04694255703387104
2023-07-03,2023-06-30,2023-06-30,2023-07-03,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00014305641952220028,1.0,0.0,0.05895618972172044,0.016684185471723567,0.04674796883638091
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0001407420039374574,1.0,0.0,0.05888635163467405,0.018502647176512534,0.046334986225002296
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00022097822901841858,1.0,0.02,0.02,0.4076918575793079,0.02709913191037288
2023-10-02,2023-09-29,2023-09-29,2023-10-02,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0002173587772763525,1.0,0.02,0.02,0.019764388141731093,0.027022132226536155
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.00021413685960390035,1.0,0.02,0.02,0.022386155925351217,0.026910107304505763
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Equity,Minimum Variance,Equity Minimum Variance,50,success,False,0.0002113381201595195,1.0,0.02,0.02,0.029474394557912065,0.0267559389644652
2021-01-04,2020-12-31,2020-12-31,2021-01-04,Equity,Tangency,Equity Tangency,50,success,False,-0.1172676796370191,1.0,0.0,0.2908226220510163,,0.2885830795799438
2021-02-01,2021-01-29,2021-01-29,2021-02-01,Equity,Tangency,Equity Tangency,50,success,False,-0.10713884288938647,0.9999999999999999,0.0,0.26913727063481907,0.23945800540439152,0.381291558196408
2021-03-01,2021-02-26,2021-02-26,2021-03-01,Equity,Tangency,Equity Tangency,50,success,False,-0.10246313286301116,1.0,0.0,0.4933900491924634,0.4200631774741167,0.6725839442631589
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Equity,Tangency,Equity Tangency,50,success,False,-0.10202763260170665,1.0,0.0,0.30223548959126467,0.3098300833461232,0.44804423334621135
2021-05-03,2021-04-30,2021-04-30,2021-05-03,Equity,Tangency,Equity Tangency,50,success,False,-0.11123914241515592,1.0,0.0,0.3297584722414656,0.19852614308248906,0.4014302870416314
2021-06-01,2021-05-28,2021-05-28,2021-06-01,Equity,Tangency,Equity Tangency,50,success,False,-0.12168768606954834,0.9999999999999999,0.0,0.28451221636771273,0.18775627621522845,0.3068351456979332
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Equity,Tangency,Equity Tangency,50,success,False,-0.12115919175201478,1.0,0.0,0.40969568760178987,0.21227135597332425,0.5996618244492734
2021-08-02,2021-07-30,2021-07-30,2021-08-02,Equity,Tangency,Equity Tangency,50,success,False,-0.11635798550660706,1.0,0.0,0.4069731846094178,0.14640479872418363,0.5939268121467094
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Equity,Tangency,Equity Tangency,50,success,False,-0.12297773404780728,1.0,0.0,0.496197506962535,0.17098626222635635,0.6642603691354066
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Equity,Tangency,Equity Tangency,50,success,False,-0.10934352934575337,0.9999999999999999,0.0,0.5727691646691375,0.07263684004226079,0.754329895443135
2021-11-01,2021-10-29,2021-10-29,2021-11-01,Equity,Tangency,Equity Tangency,50,success,False,-0.12250356422342143,1.0,0.0,0.5222074946009154,0.10881336654151866,0.7106757328271034
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Equity,Tangency,Equity Tangency,50,success,False,-0.1291805276416345,1.0,0.0,0.6518462186037894,0.07934269963459094,0.8371788913924963
2022-01-03,2021-12-31,2021-12-31,2022-01-03,Equity,Tangency,Equity Tangency,50,success,False,-0.12507637863391968,1.0,0.0,0.40346480400097445,0.22675493181252493,0.6269244238605512
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Equity,Tangency,Equity Tangency,50,success,False,-0.11138473557073149,1.0,0.0,0.334047969950121,0.12727412384687323,0.5584308482435997
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Equity,Tangency,Equity Tangency,50,success,False,-0.11409202795143732,1.0,0.0,0.27129437528685363,0.13085054356137626,0.4499270323363151
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Equity,Tangency,Equity Tangency,50,success,False,-0.12381229257255462,1.0,0.0,0.2285263367560722,0.09036362658332091,0.38095263983809474
2022-05-02,2022-04-29,2022-04-29,2022-05-02,Equity,Tangency,Equity Tangency,50,success,False,-0.10726707120091045,1.0,0.0,0.21879047111664324,0.05703090185135744,0.2961244985294379
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Equity,Tangency,Equity Tangency,50,success,False,-0.09700996332585567,1.0,0.0,0.3115451822083021,0.11685628387082349,0.30641566906401696
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08589239872875802,0.9999999999999999,0.0,0.43450009583447924,0.15419690502408162,0.40783624724676376
2022-08-01,2022-07-29,2022-07-29,2022-08-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08872864601161794,1.0,0.0,0.31943337189131693,0.23719745086989838,0.304903981394015
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08246377432517991,0.9999999999999999,0.0,0.25626557041008313,0.14208849423976969,0.2567787778817188
2022-10-03,2022-09-30,2022-09-30,2022-10-03,Equity,Tangency,Equity Tangency,50,success,False,-0.07069611705548896,1.0,0.0,0.3699777498329113,0.14846526410462263,0.30073787444767325
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Equity,Tangency,Equity Tangency,50,success,False,-0.07920416964509881,1.0,0.0,0.37200477870799886,0.0632665817580405,0.3022303755940981
2022-12-01,2022-11-30,2022-11-30,2022-12-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08521397473215793,1.0000000000000002,0.0,0.43292406622362045,0.20062041584002774,0.35331825725498045
2023-01-03,2022-12-30,2022-12-30,2023-01-03,Equity,Tangency,Equity Tangency,50,success,False,-0.0794193893792537,1.0,0.0,0.500061299249266,0.0781506926069451,0.44242365625156677
2023-02-01,2023-01-31,2023-01-31,2023-02-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08406000515267603,0.9999999999999999,0.0,0.34768598877930906,0.13531777971038367,0.3777165370950209
2023-03-01,2023-02-28,2023-02-28,2023-03-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08613089066449803,0.9999999999999999,0.0,0.4327762149384935,0.13310984312529703,0.35833154338702344
2023-04-03,2023-03-31,2023-03-31,2023-04-03,Equity,Tangency,Equity Tangency,50,success,False,-0.08767843225328265,1.0,0.0,0.44183929436311375,0.044795375302061305,0.4393178400620416
2023-05-01,2023-04-28,2023-04-28,2023-05-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08488050076356891,1.0,0.0,0.39360272953349706,0.08281305736533318,0.47067326744603083
2023-06-01,2023-05-31,2023-05-31,2023-06-01,Equity,Tangency,Equity Tangency,50,success,False,-0.0860728724785346,1.0,0.0,0.4204885336037543,0.06879064955228126,0.6619127768010522
2023-07-03,2023-06-30,2023-06-30,2023-07-03,Equity,Tangency,Equity Tangency,50,success,False,-0.08986378108571975,1.0,0.0,0.4154658623039408,0.09093343670755075,0.6295941723800424
2023-08-01,2023-07-31,2023-07-31,2023-08-01,Equity,Tangency,Equity Tangency,50,success,False,-0.09374922033592667,1.0,0.0,0.39042206555808634,0.09066501387257064,0.6025989650558723
2023-09-01,2023-08-31,2023-08-31,2023-09-01,Equity,Tangency,Equity Tangency,50,success,False,-0.09308630874968404,1.0000000000000002,0.0,0.40110164190202563,0.01239849198263992,0.6191681612073242
2023-10-02,2023-09-29,2023-09-29,2023-10-02,Equity,Tangency,Equity Tangency,50,success,False,-0.08857706536119887,1.0,0.0,0.3754784107285406,0.061076688845910276,0.5996793058618191
2023-11-01,2023-10-31,2023-10-31,2023-11-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08433276863221158,1.0,0.0,0.3837784562944649,0.06864853023145595,0.6206731983569335
2023-12-01,2023-11-30,2023-11-30,2023-12-01,Equity,Tangency,Equity Tangency,50,success,False,-0.08790962072972139,1.0,0.0,0.4016302187853759,0.07453523115762352,0.6164713644287946
2021-01-04,2020-12-31,2020-12-31,2021-01-04,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.2413131598859946e-07,1.0000000000000002,0.009815001904613398,0.03904945285914225,,0.0002784071052841959
2021-02-01,2021-01-29,2021-01-29,2021-02-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.0825620281062328e-07,1.0,0.009818919041159618,0.038694896795835446,0.023853614617483948,0.0002492473707162088
2021-03-01,2021-02-26,2021-02-26,2021-03-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,1.0332405190858366e-07,1.0,0.0097672893396468,0.038365901682324614,0.04317985701500296,0.00023550669431123689
2021-04-01,2021-03-31,2021-03-31,2021-04-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,9.031100563031842e-08,1.0,0.009838560901163928,0.03788586690449988,0.02172571871535437,0.00020289819193811814
2021-05-03,2021-04-30,2021-04-30,2021-05-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,8.854469362077134e-08,0.9999999999999999,0.00986625742345584,0.03756312111084434,0.020114504756861336,0.00019355697644710124
2021-06-01,2021-05-28,2021-05-28,2021-06-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,8.284449746868367e-08,1.0,0.009879999650383062,0.037175882843829215,0.021143372890654953,0.000195252546711204
2021-07-01,2021-06-30,2021-06-30,2021-07-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.36422177906439e-08,0.9999999999999999,0.009898315822102008,0.03671446178522702,0.024355681533205352,0.0001846486941488902
2021-08-02,2021-07-30,2021-07-30,2021-08-02,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.89083418133932e-08,1.0,0.009859281846668157,0.03657611507421663,0.01912476105012749,0.00020192923331153328
2021-09-01,2021-08-31,2021-08-31,2021-09-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.829296280652511e-08,1.0,0.009810047165863426,0.036140376960583066,0.018307492119321145,0.00020445905498222075
2021-10-01,2021-09-30,2021-09-30,2021-10-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.791273943882328e-08,1.0,0.009778597439870912,0.03610345176393642,0.01979274535039214,0.00020783835783564492
2021-11-01,2021-10-29,2021-10-29,2021-11-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.503364677790922e-08,1.0,0.009790415621326449,0.0363061460177289,0.0316106354913184,0.00020320270605198726
2021-12-01,2021-11-30,2021-11-30,2021-12-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,7.747029283401845e-08,1.0,0.00976285268956384,0.03653715679378659,0.030618231789507323,0.00020030726003412644
