date,universe,method,fund,return,periods_per_year
2021-10-20,Equity,Equal Weight,Equity Equal Weight,0.008858487613223512,252
2021-10-21,Equity,Equal Weight,Equity Equal Weight,0.0007577563531104437,252
2021-10-22,Equity,Equal Weight,Equity Equal Weight,0.0012181275672072391,252
2021-10-25,Equity,Equal Weight,Equity Equal Weight,0.006157737969974207,252
2021-10-26,Equity,Equal Weight,Equity Equal Weight,0.005035039278010809,252
2021-10-27,Equity,Equal Weight,Equity Equal Weight,-0.016021570019775676,252
2021-10-28,Equity,Equal Weight,Equity Equal Weight,0.008177747360443858,252
2021-10-29,Equity,Equal Weight,Equity Equal Weight,-0.0029640878507516404,252
2021-11-01,Equity,Equal Weight,Equity Equal Weight,0.007461175731891203,252
2021-11-02,Equity,Equal Weight,Equity Equal Weight,0.004540063787491219,252
2021-11-03,Equity,Equal Weight,Equity Equal Weight,0.005006007983429448,252
2021-11-04,Equity,Equal Weight,Equity Equal Weight,0.004566805541999333,252
2021-11-05,Equity,Equal Weight,Equity Equal Weight,0.004317548129979446,252
2021-11-08,Equity,Equal Weight,Equity Equal Weight,0.003743337195565299,252
2021-11-09,Equity,Equal Weight,Equity Equal Weight,-0.0007145187867039062,252
2021-11-10,Equity,Equal Weight,Equity Equal Weight,-0.007127343452293766,252
2021-11-11,Equity,Equal Weight,Equity Equal Weight,0.001065959126717244,252
2021-11-12,Equity,Equal Weight,Equity Equal Weight,0.002158136556547572,252
2021-11-15,Equity,Equal Weight,Equity Equal Weight,-0.0008570796974349085,252
2021-11-16,Equity,Equal Weight,Equity Equal Weight,-4.3818578374865714e-05,252
2021-11-17,Equity,Equal Weight,Equity Equal Weight,-0.006410498431443284,252
2021-11-18,Equity,Equal Weight,Equity Equal Weight,-0.0012952494090488886,252
2021-11-19,Equity,Equal Weight,Equity Equal Weight,-0.008108011963673637,252
2021-11-22,Equity,Equal Weight,Equity Equal Weight,0.0021290502357046797,252
2021-11-23,Equity,Equal Weight,Equity Equal Weight,0.007614035389942484,252
2021-11-24,Equity,Equal Weight,Equity Equal Weight,0.0015933253638177266,252
2021-11-26,Equity,Equal Weight,Equity Equal Weight,-0.02190708025971444,252
2021-11-29,Equity,Equal Weight,Equity Equal Weight,0.007100239839562275,252
2021-11-30,Equity,Equal Weight,Equity Equal Weight,-0.0227366521971692,252
2021-12-01,Equity,Equal Weight,Equity Equal Weight,-0.01313797524308134,252
2021-12-02,Equity,Equal Weight,Equity Equal Weight,0.021514026022957152,252
2021-12-03,Equity,Equal Weight,Equity Equal Weight,-0.0009151530011433476,252
2021-12-06,Equity,Equal Weight,Equity Equal Weight,0.013552429844853974,252
2021-12-07,Equity,Equal Weight,Equity Equal Weight,0.014952137327276691,252
