fund,universe,method,latest_rebalance_date,ticker,weight
Combined Equal Weight,Combined,Equal Weight,2023-12-01,T,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,TMUS,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,TRX-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,TTWO,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,UPS,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,USB,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,V,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,WFC,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,WMT,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,XLM-USD,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,XOM,0.016666666666666666
Combined Equal Weight,Combined,Equal Weight,2023-12-01,XRP-USD,0.016666666666666666
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,WMT,0.04760573897038455
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,GILD,0.046053348808525296
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,MRK,0.044467601300275356
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,NEM,0.04397732491138422
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,EA,0.042138452262450776
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ABBV,0.04185235816023002
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,AMGN,0.03799610677500697
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,KO,0.035514985278259824
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,AEP,0.03528763947122575
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,TTWO,0.03522769071206292
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,PSA,0.03436505960892909
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,T,0.03225328713257805
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ABT,0.03051596738816533
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,DUK,0.030216560077419727
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,TMUS,0.03005933068546009
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,D,0.029111873250647843
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,UPS,0.028424677617394083
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,MMM,0.027626928751519852
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,SO,0.02630983994951942
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,CMCSA,0.02440473073766308
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,NEE,0.02383105779695351
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,CCI,0.02351079244354229
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,SHW,0.023039868032191376
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,AMT,0.0205590254946688
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,O,0.018635356924391423
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,V,0.0171889011323559
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,CAT,0.017069184582322063
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,XOM,0.016546470276589852
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,NKE,0.01647196833736593
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,SBUX,0.014176219765587559
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,DIS,0.013789024744369294
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,PLD,0.013787768445878014
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ADBE,0.013017811347566128
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,CVX,0.009104139443695095
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,INTC,0.009094611580378477
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,DD,0.00862331735602219
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,GS,0.008001972130445172
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,GE,0.006378300919541785
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,QCOM,0.006318374080869619
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,NUE,0.004710419934991609
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,USB,0.0039909543842456124
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,DOW,0.003805617778901948
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,BCH-USD,0.0021776504913827606
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,WFC,0.0014591796325728883
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,NVDA,0.0007311440671713853
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,BTC-USD,0.0003417357820402868
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,XRP-USD,0.00011636126625027819
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,MS,9.549318273743878e-05
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,TRX-USD,1.7776795869042606e-05
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,XLM-USD,8.7638306181293e-20
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ADA-USD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,AMD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,BA,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,COP,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,EOS-USD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ETC-USD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,ETH-USD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,LTC-USD,0.0
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,OXY,0.0
