date,ticker,asset_class,sector,return
2022-01-06,ETH-USD,Crypto,Crypto,-0.0371730634280415
2022-01-07,ETH-USD,Crypto,Crypto,-0.06587795854818668
2022-01-08,ETH-USD,Crypto,Crypto,-0.031704077942472875
2022-01-09,ETH-USD,Crypto,Crypto,0.021274058960640163
2022-01-10,ETH-USD,Crypto,Crypto,-0.02364136800640171
2022-01-11,ETH-USD,Crypto,Crypto,0.05027854349203764
2022-01-12,ETH-USD,Crypto,Crypto,0.04142745718356022
2022-01-13,ETH-USD,Crypto,Crypto,-0.03676163434271329
2022-01-14,ETH-USD,Crypto,Crypto,0.018998586244709736
2022-01-15,ETH-USD,Crypto,Crypto,0.006202201749167191
2022-01-16,ETH-USD,Crypto,Crypto,0.006122481592311324
2022-01-17,ETH-USD,Crypto,Crypto,-0.04136680845756069
2022-01-18,ETH-USD,Crypto,Crypto,-0.015029639521672689
2022-01-19,ETH-USD,Crypto,Crypto,-0.021554575451392277
2022-01-20,ETH-USD,Crypto,Crypto,-0.030591452089873683
2022-01-21,ETH-USD,Crypto,Crypto,-0.14767435465989753
2022-01-22,ETH-USD,Crypto,Crypto,-0.05971640752836038
2022-01-23,ETH-USD,Crypto,Crypto,0.053990906269038685
2022-01-24,ETH-USD,Crypto,Crypto,-0.03735120652726631
2022-01-25,ETH-USD,Crypto,Crypto,0.006385456601614825
2022-01-26,ETH-USD,Crypto,Crypto,0.0049248919678990255
2022-01-27,ETH-USD,Crypto,Crypto,-0.018244935331225953
2022-01-28,ETH-USD,Crypto,Crypto,0.05121368460412512
2022-01-29,ETH-USD,Crypto,Crypto,0.019627353458854913
2022-01-30,ETH-USD,Crypto,Crypto,0.0024573075711489256
2022-01-31,ETH-USD,Crypto,Crypto,0.03257666428258821
2022-02-01,ETH-USD,Crypto,Crypto,0.03862634283851252
2022-02-02,ETH-USD,Crypto,Crypto,-0.039132735575322264
2022-02-03,ETH-USD,Crypto,Crypto,-0.0013759251322007504
2022-02-04,ETH-USD,Crypto,Crypto,0.11362666703116964
2022-02-05,ETH-USD,Crypto,Crypto,0.010410717097086852
2022-02-06,ETH-USD,Crypto,Crypto,0.014206593311191451
2022-02-07,ETH-USD,Crypto,Crypto,0.027798951436755814
2022-02-08,ETH-USD,Crypto,Crypto,-0.00632052369720526
2022-02-09,ETH-USD,Crypto,Crypto,0.037420119536786256
2022-02-10,ETH-USD,Crypto,Crypto,-0.05000061799033162
2022-02-11,ETH-USD,Crypto,Crypto,-0.04877319319619966
2022-02-12,ETH-USD,Crypto,Crypto,-0.0034231086563658586
2022-02-13,ETH-USD,Crypto,Crypto,-0.011619882910758439
2022-02-14,ETH-USD,Crypto,Crypto,0.01734567720397817
2022-02-15,ETH-USD,Crypto,Crypto,0.08399521286202116
2022-02-16,ETH-USD,Crypto,Crypto,-0.01636765067071777
2022-02-17,ETH-USD,Crypto,Crypto,-0.07876007915331673
2022-02-18,ETH-USD,Crypto,Crypto,-0.03323095432766643
2022-02-19,ETH-USD,Crypto,Crypto,-0.00790686342387692
2022-02-20,ETH-USD,Crypto,Crypto,-0.048866619788482835
2022-02-21,ETH-USD,Crypto,Crypto,-0.02085949365019457
2022-02-22,ETH-USD,Crypto,Crypto,0.02544204798341476
2022-02-23,ETH-USD,Crypto,Crypto,-0.01854268553832039
2022-02-24,ETH-USD,Crypto,Crypto,0.002975463126547284
2022-02-25,ETH-USD,Crypto,Crypto,0.0640739815309288
2022-02-26,ETH-USD,Crypto,Crypto,0.005996005841990337
2022-02-27,ETH-USD,Crypto,Crypto,-0.05728286710874153
2022-02-28,ETH-USD,Crypto,Crypto,0.1134332194172587
2022-03-01,ETH-USD,Crypto,Crypto,0.018252916606172453
2022-03-02,ETH-USD,Crypto,Crypto,-0.0075245790678323266
2022-03-03,ETH-USD,Crypto,Crypto,-0.03920161771843611
2022-03-04,ETH-USD,Crypto,Crypto,-0.07666797157791327
2022-03-05,ETH-USD,Crypto,Crypto,0.018216357267732075
2022-03-06,ETH-USD,Crypto,Crypto,-0.04120099883208184
2022-03-07,ETH-USD,Crypto,Crypto,-0.02241302390450539
2022-03-08,ETH-USD,Crypto,Crypto,0.031618715552175436
2022-03-09,ETH-USD,Crypto,Crypto,0.0593911064983772
2022-03-10,ETH-USD,Crypto,Crypto,-0.04459506244101141
2022-03-11,ETH-USD,Crypto,Crypto,-0.018590756322895086
2022-03-12,ETH-USD,Crypto,Crypto,0.005935060859578956
2022-03-13,ETH-USD,Crypto,Crypto,-0.021675689037740864
2022-03-14,ETH-USD,Crypto,Crypto,0.02848473341224711
2022-03-15,ETH-USD,Crypto,Crypto,0.011368996119395458
2022-03-16,ETH-USD,Crypto,Crypto,0.057976079871540964
2022-03-17,ETH-USD,Crypto,Crypto,0.015439382650158429
2022-03-18,ETH-USD,Crypto,Crypto,0.04635711215367966
2022-03-19,ETH-USD,Crypto,Crypto,0.00031034161201071164
2022-03-20,ETH-USD,Crypto,Crypto,-0.029120965764543816
2022-03-21,ETH-USD,Crypto,Crypto,0.013115842942408973
2022-03-22,ETH-USD,Crypto,Crypto,0.025933453702879916
2022-03-23,ETH-USD,Crypto,Crypto,0.019486538985025836
2022-03-24,ETH-USD,Crypto,Crypto,0.02540190286930155
2022-03-25,ETH-USD,Crypto,Crypto,-0.0004474251140281771
2022-03-26,ETH-USD,Crypto,Crypto,0.011751345351635134
2022-03-27,ETH-USD,Crypto,Crypto,0.047212927981994834
2022-03-28,ETH-USD,Crypto,Crypto,0.013688537758611341
2022-03-29,ETH-USD,Crypto,Crypto,0.0195865837458582
2022-03-30,ETH-USD,Crypto,Crypto,-0.004947058898670642
2022-03-31,ETH-USD,Crypto,Crypto,-0.030579115649246424
2022-04-01,ETH-USD,Crypto,Crypto,0.051166270347545506
2022-04-02,ETH-USD,Crypto,Crypto,-0.0013024646682661123
2022-04-03,ETH-USD,Crypto,Crypto,0.022575567663241758
2022-04-04,ETH-USD,Crypto,Crypto,-0.0004519898990444915
2022-04-05,ETH-USD,Crypto,Crypto,-0.031082429152761826
2022-04-06,ETH-USD,Crypto,Crypto,-0.07037373677091652
2022-04-07,ETH-USD,Crypto,Crypto,0.019416376407197067
2022-04-08,ETH-USD,Crypto,Crypto,-0.012742710703286475
2022-04-09,ETH-USD,Crypto,Crypto,0.02187990808226714
2022-04-10,ETH-USD,Crypto,Crypto,-0.015343531967263346
2022-04-11,ETH-USD,Crypto,Crypto,-0.07186309437345806
2022-04-12,ETH-USD,Crypto,Crypto,0.016545908853034197
2022-04-13,ETH-USD,Crypto,Crypto,0.0290286617712483
2022-04-14,ETH-USD,Crypto,Crypto,-0.03156637206525337
2022-04-15,ETH-USD,Crypto,Crypto,0.0069561954118133595
2022-04-16,ETH-USD,Crypto,Crypto,0.007035312808044258
2022-04-17,ETH-USD,Crypto,Crypto,-0.022501632953508044
2022-04-18,ETH-USD,Crypto,Crypto,0.021448285536718847
2022-04-19,ETH-USD,Crypto,Crypto,0.015207893160284813
2022-04-20,ETH-USD,Crypto,Crypto,-0.00849216873439762
2022-04-21,ETH-USD,Crypto,Crypto,-0.029328327006015287
2022-04-22,ETH-USD,Crypto,Crypto,-0.007579971791462747
2022-04-23,ETH-USD,Crypto,Crypto,-0.00901287034129783
2022-04-24,ETH-USD,Crypto,Crypto,-0.005235109183876596
2022-04-25,ETH-USD,Crypto,Crypto,0.029650638144067543
2022-04-26,ETH-USD,Crypto,Crypto,-0.06682250466394446
2022-04-27,ETH-USD,Crypto,Crypto,0.028711816872254436
2022-04-28,ETH-USD,Crypto,Crypto,0.01661903738138304
2022-04-29,ETH-USD,Crypto,Crypto,-0.041314794787239206
2022-04-30,ETH-USD,Crypto,Crypto,-0.030336334797430475
2022-05-01,ETH-USD,Crypto,Crypto,0.03573723860073175
2022-05-02,ETH-USD,Crypto,Crypto,0.010486865128902734
2022-05-03,ETH-USD,Crypto,Crypto,-0.02587450581867512
2022-05-04,ETH-USD,Crypto,Crypto,0.05646480841047263
2022-05-05,ETH-USD,Crypto,Crypto,-0.0650985260875554
